species,od,temp(G),time point
WYM25_03,0.230966667,21,100
WYM25_03,0.219166667,21,104
WYM25_03,0.2117,21,116
WYM25_03,0.199833333,21,120
WYM25_03,0.004,25,0
WYM25_03,0.013166667,25,4
WYM25_03,0.1383,25,8
WYM25_03,0.2003,25,20
WYM25_03,0.223966667,25,24
WYM25_03,0.22725,25,28
WYM25_03,0.21945,25,32
WYM25_03,0.2538,25,44
WYM25_03,0.235866667,25,48
WYM25_03,0.267533333,25,52
WYM25_03,0.235966667,25,56
WYM25_03,0.251,25,68
WYM25_03,0.2339,25,72
WYM25_03,0.2238,25,76
WYM25_03,0.242,25,80
WYM25_03,0.2427,25,92
WYM25_03,0.22325,25,96
WYM25_03,0.2442,25,100
WYM25_03,0.2453,25,104
WYM25_03,0.247133333,25,116
WYM25_03,0.247,25,120
WYM25_03,0.0029,28,0
WYM25_03,0.018,28,4
WYM25_03,0.09505,28,8
WYM25_03,0.32995,28,20
WYM25_03,0.31975,28,24
WYM25_03,0.302833333,28,28
WYM25_03,0.27345,28,32
WYM25_03,0.2059,28,44
WYM25_03,0.206233333,28,48
WYM25_03,0.2106,28,52
WYM25_03,0.208833333,28,56
WYM25_03,0.174433333,28,68
WYM25_03,0.187933333,28,72
WYM25_03,0.196333333,28,76
WYM25_03,0.195333333,28,80
WYM25_03,0.182,28,92
WYM25_03,0.184833333,28,96
WYM25_03,0.2015,28,100
WYM25_03,0.1725,28,104
WYM25_03,0.1685,28,116
WYM25_03,0.1695,28,120
BB13_09,0.0035,12,0
BB13_09,0.0235,12,4
BB13_09,0.020833333,12,8
BB13_09,0.024166667,12,20
BB13_09,0.0552,12,24
BB13_09,0.0772,12,28
BB13_09,0.099,12,32
BB13_09,0.1338,12,44
BB13_09,0.1353,12,48
BB13_09,0.1398,12,52
BB13_09,0.153,12,56
BB13_09,0.1993,12,68
BB13_09,0.2039,12,72
BB13_09,0.2022,12,76
BB13_09,0.2081,12,80
BB13_09,0.21,12,92
BB13_09,0.206,12,96
BB13_09,0.2164,12,100
BB13_09,0.2133,12,104
BB13_09,0.2182,12,116
BB13_09,0.228,12,120
BB13_09,0.006,15,0
BB13_09,0.0054,15,4
