Spent_media,Temp,Species,Rmax,K,AUC,AUCf,aucratio,log10(ratio)
BB19_16,18,SP03_19,0.034261706,0.198088696,17.39824999,20.30084667,0.857020905,-0.0670 
BB19_16,21,SP03_19,0.060245336,0.179629326,18.37355001,21.91980001,0.838217046,-0.0766 
BB19_16,25,SP03_19,0.02156055,0.257232719,17.26449998,19.4858,0.886004166,-0.0526 
S56,12,S18,0.072132784,0.178761306,15.40213665,15.20860001,1.012725474,0.0055 
S56,15,S18,0.088263821,0.200253733,17.72966668,16.85966666,1.051602445,0.0219 
S56,18,S18,0.128322387,0.19610077,20.64425002,23.41081333,0.881825408,-0.0546 
S56,21,S18,0.096776823,0.184898745,17.4265,21.81786666,0.798726121,-0.0976 
S56,25,S18,0.163204959,0.177251977,17.21349999,23.3699,0.736567122,-0.1328 
S56,28,S18,0.12976821,0.196395388,20.8672,26.6884,0.781882766,-0.1069 
S56,12,S56,0.073587603,0.194518449,15.17116667,16.0574,0.944808417,-0.0247 
S56,15,S56,0.07763504,0.219430416,17.11016668,19.30353333,0.886374861,-0.0524 
S56,18,S56,0.115145643,0.257133614,24.21562502,25.66334667,0.943587963,-0.0252 
S56,21,S56,0.207946797,0.200451046,20.068,22.62203333,0.887099745,-0.0520 
S56,25,S56,0.189032378,0.267111362,27.44066667,25.96493335,1.056835629,0.0240 
S56,28,S56,0.108155492,0.231558495,23.3625,29.9808,0.779248719,-0.1083 
S56,12,BB19_16,0.084639597,0.274653976,27.40728,26.92722667,1.017827804,0.0077 
S56,15,BB19_16,0.130800857,0.236676878,24.23258334,28.36453333,0.854326883,-0.0684 
S56,18,BB19_16,0.191827946,0.201601946,22.14112502,26.72568,0.828458809,-0.0817 
S56,21,BB19_16,0.199377212,0.200611457,21.29995,25.99873333,0.819268759,-0.0866 
S56,25,BB19_16,0.269288567,0.181528147,19.58191666,30.68213334,0.638218876,-0.1950 
S56,28,BB19_16,0.163154262,0.147736097,16.46241667,26.71133333,0.616308309,-0.2102 
S56,12,WYC41_02,0.368998225,0.199006161,21.57957,17.44893333,1.236727174,0.0923 
S56,15,WYC41_02,0.319314051,0.183634594,20.79666667,17.09456666,1.216565888,0.0851 
S56,18,WYC41_02,1.827372572,0.154987163,17.57549998,23.02688,0.763260154,-0.1173 
S56,21,WYC41_02,0.275042321,0.175764302,19.96975,25.14486667,0.794187945,-0.1001 
S56,25,WYC41_02,0.041870244,0.595485336,41.06199999,28.2622,1.452894679,0.1622 
S56,28,WYC41_02,0.126317636,0.329227982,34.2975,24.62386667,1.392855982,0.1439 
S56,12,WYM25_02,0.247693585,0.212219278,20.86085,17.8912,1.165983836,0.0667 
S56,15,WYM25_02,0.187099541,0.209594317,21.25166667,17.62583333,1.205711314,0.0812 
S56,18,WYM25_02,1.512558821,0.162794878,18.51499998,23.33681334,0.793381672,-0.1005 
S56,21,WYM25_02,0.265515558,0.16285383,18.3025,24.45086667,0.748541974,-0.1258 
S56,25,WYM25_02,0.05184095,0.442487062,34.95341666,29.46093334,1.186432767,0.0742 
S56,28,WYM25_02,0.22263481,0.273226601,30.2709,27.74326666,1.091107993,0.0379 
S56,12,WYM25_03,0.274750647,0.19281866,20.89375,17.68059999,1.181733087,0.0725 
S56,15,WYM25_03,0.175413444,0.19844456,21.48813334,17.14933335,1.253001088,0.0980 
S56,18,WYM25_03,0.093917229,-0.002540609,-0.072250001,21.66688,-0.003334583,#NUM!
S56,21,WYM25_03,0.2953043,0.188915362,21.40575001,23.2406,0.921049801,-0.0357 
S56,25,WYM25_03,0.057725914,0.365811732,30.96626666,26.28133334,1.178260869,0.0712 
S56,28,WYM25_03,0.210902284,0.278019454,29.1715,23.70446665,1.230633046,0.0901 
S56,12,BB13_09,0.21987909,0.180541099,18.43855999,17.3386,1.063439954,0.0267 
S56,15,BB13_09,0.162588605,0.204112566,21.47158334,20.42733334,1.051120231,0.0217 
S56,18,BB13_09,0.155237636,-0.003936404,-0.205250018,23.93607999,-0.008574922,#NUM!
